	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
247	http://www.nytimes.com/2013/03/27/opinion/dowd-courting-cowardice.html	other	0	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
249	http://thecaucus.blogs.nytimes.com/2013/03/18/hillary-clinton-endorses-same-sex-marriage/	News	1	Gay Rights	Civil Rights	SomewhatPositive	Neutral	nytimes.com	400
254	http://www.nytimes.com/2013/06/27/your-money/how-the-supreme-court-ruling-will-affect-same-sex-spouses.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
279	http://www.nytimes.com/2013/03/31/opinion/sunday/douthat-marriage-looks-different-now.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
299	http://www.nytimes.com/2013/03/27/opinion/the-california-marriage-case.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
308	http://www.nytimes.com/2013/02/26/us/politics/prominent-republicans-sign-brief-in-support-of-gay-marriage.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
330	http://www.nytimes.com/2013/03/19/us/san-franciscos-role-in-opposing-gay-marriage-ban-led-way-to-supreme-court.html	News	0	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
334	http://www.nytimes.com/2013/05/01/opinion/why-i-am-signing-marriage-equality-into-law-in-rhode-island.html	News	0	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
335	http://www.nytimes.com/2013/03/19/us/san-franciscos-role-in-opposing-gay-marriage-ban-led-way-to-supreme-court.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
341	http://www.nytimes.com/2013/03/23/your-money/a-supreme-court-victory-wont-flatten-same-sex-hurdles.html	News	1	Gay Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
363	http://www.nytimes.com/2013/03/27/opinion/the-california-marriage-case.html	News	0	Gay Rights	Civil Rights	Positive	SomewhatNegative	nytimes.com	400
465	http://www.nytimes.com/2013/06/05/nyregion/cuomo-womens-rights-plan-may-hinge-on-abortion-proposal.html	News	0	Healthcare	Civil Rights	Neutral	Neutral	nytimes.com	400
472	http://www.nytimes.com/2013/06/29/us/politics/final-rule-issued-for-contraceptive-coverage.html	News	0	Healthcare	Civil Rights	Neutral	Neutral	nytimes.com	400
478	http://www.nytimes.com/2014/01/01/us/politics/justice-sotomayor-blocks-contraception-mandate-in-health-law.html	News	0	Healthcare	Civil Rights	Neutral	Neutral	nytimes.com	400
514	http://www.nytimes.com/2013/10/24/world/americas/dominicans-of-haitian-descent-cast-into-legal-limbo-by-court.html	other	1	International News	Civil Rights	Neutral	Neutral	nytimes.com	400
537	http://www.nytimes.com/2013/07/01/world/africa/obama-visits-prison-where-mandela-was-jailed.html	News	1	International News	Civil Rights	Neutral	Neutral	nytimes.com	400
540	http://publiceditor.blogs.nytimes.com/2013/09/16/guardian-story-on-israel-and-n-s-a-is-not-surprising-enough-to-cover/	News	1	International News	Civil Rights	SomewhatNegative	SomewhatNegative	nytimes.com	400
566	http://www.nytimes.com/2013/07/27/world/europe/edward-snowden.html	News	0	International News	Civil Rights	Neutral	Neutral	nytimes.com	400
573	http://www.nytimes.com/2013/12/22/us/white-house-tries-to-prevent-judge-from-ruling-on-surveillance-efforts.html	News	0	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
589	http://www.nytimes.com/2013/09/29/us/nsa-examines-social-networks-of-us-citizens.html	News	1	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
623	http://www.nytimes.com/2013/06/28/us/politics/immigration-bill-clears-final-hurdle-to-senate-approval.html	News	0	National Security	Civil Rights	Neutral	SomewhatPositive	nytimes.com	400
627	http://www.nytimes.com/2013/08/04/us/other-agencies-clamor-for-data-nsa-compiles.html	News	1	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
638	http://www.nytimes.com/2013/08/18/opinion/sunday/a-brighter-line-on-immigration-policing.html	News	1	National Security	Civil Rights	SomewhatPositive	SomewhatNegative	nytimes.com	400
645	http://www.nytimes.com/2013/06/13/nyregion/us-offers-conditional-support-for-police-monitor-in-stop-and-frisk-case.html	News	0	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
651	http://www.nytimes.com/2013/08/20/us/carwash-managers-held-in-immigration-raids.html	News	0	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
669	http://www.nytimes.com/2013/12/31/nyregion/police-commissioner-kelly-flinching-a-bit-looks-back-with-head-high.html	News	1	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
687	http://www.nytimes.com/2013/04/22/us/gop-lawmakers-push-to-hold-boston-suspect-as-enemy-combatant.html	News	1	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
701	http://www.nytimes.com/2013/05/21/opinion/stop-the-leaks.html	News	0	National Security	Civil Rights	Neutral	Neutral	nytimes.com	400
708	http://www.nytimes.com/2013/08/09/opinion/breaking-through-limits-on-spying.html	Opinion	0	National Security	Civil Rights	SomewhatNegative	Neutral	nytimes.com	400
719	http://www.nytimes.com/2013/03/18/us/politics/obama-to-nominate-thomas-e-perez-as-labor-secretary.html	News	1	None	Civil Rights	SomewhatPositive	Neutral	nytimes.com	400
731	http://www.nytimes.com/2013/06/10/us/politics/immigration-bill-debate-nears-in-senate.html	News	0	None	Civil Rights	Neutral	Neutral	nytimes.com	400
753	http://www.nytimes.com/2013/07/10/opinion/the-decline-of-north-carolina.html	News	1	Republican Scandals	Civil Rights	Neutral	Negative	nytimes.com	400
757	http://www.nytimes.com/2013/07/21/us/politics/math-behind-leak-crackdown-153-cases-4-years-0-indictments.html	Opinion	0	Civil Rights	Democrat Scandals	Negative	Neutral	nytimes.com	400
779	http://www.nytimes.com/2013/05/03/opinion/putting-politics-ahead-of-womens-rights.html	Opinion	0	Civil Rights	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
801	http://www.nytimes.com/2013/05/19/opinion/sunday/dowd-irs-investigation-means-more-taxing-times-for-obama.html	News	1	Democrat Scandals	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
830	http://www.nytimes.com/2013/09/16/business/economy/summers-pulls-name-from-consideration-for-fed-chief.html	News	1	Economy	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
851	http://www.nytimes.com/2013/06/05/us/politics/trade-nominee-has-500000-in-caymans-account.html	Opinion	1	Economy	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
871	http://thecaucus.blogs.nytimes.com/2013/08/27/ickes-returns-to-democratic-committees-rules-and-bylaws-panel/	News	1	Elections	Democrat Scandals	SomewhatPositive	Neutral	nytimes.com	400
874	http://www.nytimes.com/2013/03/17/magazine/ted-kennedy-jr-is-finally-ready-for-the-family-business.html	News	1	Elections	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
886	http://www.nytimes.com/2013/04/06/opinion/collins-a-new-era-in-political-corruption.html	Opinion	0	Elections	Democrat Scandals	Negative	Negative	nytimes.com	400
888	http://www.nytimes.com/2013/09/23/us/politics/deeply-conservative-but-not-an-obama-hater.html	Opinion	0	Elections	Democrat Scandals	Negative	Neutral	nytimes.com	400
939	http://www.nytimes.com/2013/07/08/nyregion/spitzer-seeks-ballot-for-city-comptrollers-race.html	News	0	Elections	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
946	http://www.nytimes.com/2013/05/24/nyregion/anthony-weiner-hits-campaign-trail-in-circuslike-outing.html	News	0	Elections	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
989	http://www.nytimes.com/2013/05/03/opinion/putting-politics-ahead-of-womens-rights.html	Opinion	1	Healthcare	Democrat Scandals	SomewhatNegative	SomewhatNegative	nytimes.com	400
1000	http://www.nytimes.com/2013/05/27/opinion/krugman-the-obamacare-shock.html	Opinion	0	Healthcare	Democrat Scandals	SomewhatNegative	SomewhatNegative	nytimes.com	400
1021	http://www.nytimes.com/2013/11/15/us/politics/parallels-to-bush-in-toxic-political-mix-threatening-obama.html	News	0	Healthcare	Democrat Scandals	Negative	Neutral	nytimes.com	400
1036	http://www.nytimes.com/2013/11/15/us/politics/parallels-to-bush-in-toxic-political-mix-threatening-obama.html	Opinion	1	Healthcare	Democrat Scandals	Negative	SomewhatNegative	nytimes.com	400
1111	http://www.nytimes.com/2013/07/19/world/europe/moscow-trip-for-obama-may-be-off-as-snowden-tensions-build.html	Opinion	1	International News	Democrat Scandals	Neutral	Neutral	nytimes.com	400
1114	http://www.nytimes.com/2013/09/11/world/middleeast/syrian-chemical-arsenal.html	News	0	International News	Democrat Scandals	SomewhatNegative	SomewhatPositive	nytimes.com	400
1129	http://www.nytimes.com/2013/09/06/world/middleeast/israel-backs-limited-strike-against-syria.html	News	1	International News	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
1135	http://www.nytimes.com/2013/09/12/opinion/blow-its-a-mad-mad-mad-mad-world.html	Opinion	1	International News	Democrat Scandals	SomewhatNegative	SomewhatNegative	nytimes.com	400
1141	http://www.nytimes.com/2013/05/09/us/politics/official-offers-account-from-libya-of-benghazi-attack.html	News	1	International News	Democrat Scandals	Neutral	Neutral	nytimes.com	400
1154	http://www.nytimes.com/2013/05/09/us/politics/official-offers-account-from-libya-of-benghazi-attack.html	News	0	International News	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
1156	http://www.nytimes.com/2013/08/10/us/politics/obama-news-conference.html	News	1	National Security	Democrat Scandals	Neutral	Neutral	nytimes.com	400
1162	http://www.nytimes.com/2013/07/21/us/politics/math-behind-leak-crackdown-153-cases-4-years-0-indictments.html	News	1	National Security	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
1172	http://www.nytimes.com/2013/06/28/us/retired-us-general-is-focus-of-inquiry-over-iran-leak.html	News	1	National Security	Democrat Scandals	Neutral	Neutral	nytimes.com	400
1176	http://www.nytimes.com/2013/04/25/books/the-way-of-the-knife-by-mark-mazzetti.html	Opinion	1	National Security	Democrat Scandals	SomewhatNegative	Neutral	nytimes.com	400
1200	http://www.nytimes.com/2013/01/08/us/politics/counterterror-adviser-to-be-named-chief-of-cia.html	News	0	National Security	Democrat Scandals	Neutral	Neutral	nytimes.com	400
1264	http://www.nytimes.com/2013/12/22/us/a-dealer-serving-life-without-having-taken-one.html	News	1	Civil Rights	Drugs	Neutral	Neutral	nytimes.com	400
1285	http://www.nytimes.com/2013/11/05/business/johnson-johnson-to-settle-risperdal-improper-marketing-case.html	News	1	Healthcare	Drugs	Neutral	Neutral	nytimes.com	400
1299	http://www.nytimes.com/2013/01/31/world/asia/afghanistan-bristles-at-us-ban-on-kam-air-airline.html	News	0	International News	Drugs	Neutral	Neutral	nytimes.com	400
1325	http://www.nytimes.com/2013/04/12/us/politics/house-democrats-present-immigration-overhaul-plan.html	News	1	Civil Rights	Economy	Neutral	Neutral	nytimes.com	400
1326	http://www.nytimes.com/roomfordebate/2013/10/06/why-limit-political-donations/the-supreme-court-should-strike-down-all-contribution-limits	News	1	Civil Rights	Economy	Neutral	Neutral	nytimes.com	400
1331	http://www.nytimes.com/2013/04/26/us/farm-loan-bias-claims-often-unsupported-cost-us-millions.html	News	0	Civil Rights	Economy	Neutral	Neutral	nytimes.com	400
1347	http://takingnote.blogs.nytimes.com/2013/05/10/the-family-unfriendly-act/	News	1	Civil Rights	Economy	SomewhatNegative	SomewhatPositive	nytimes.com	400
1365	http://www.nytimes.com/2013/08/24/us/public-defenders-are-tightening-belts-because-of-steep-federal-budget-cuts.html	News	1	Civil Rights	Economy	Neutral	Neutral	nytimes.com	400
1416	http://www.nytimes.com/2013/08/14/us/politics/unease-at-clinton-foundation-over-finances-and-ambitions.html	News	1	Democrat Scandals	Economy	SomewhatNegative	Neutral	nytimes.com	400
1430	http://www.nytimes.com/2013/01/14/us/14pot.html	News	1	Drugs	Economy	Neutral	Neutral	nytimes.com	400
1441	http://www.nytimes.com/2013/06/21/us/marijuana-crops-in-california-threaten-forests-and-wildlife.html	Opinion	1	Drugs	Economy	Neutral	SomewhatPositive	nytimes.com	400
1464	http://www.nytimes.com/2013/02/22/opinion/why-taxes-have-to-go-up.html	Opinion	1	Economy	Economy	SomewhatPositive	Negative	nytimes.com	400
1490	http://www.nytimes.com/2013/02/11/us/lawyers-call-for-drastic-change-in-educating-new-lawyers.html	News	1	Education	Economy	Neutral	Neutral	nytimes.com	400
1492	http://opinionator.blogs.nytimes.com/2013/10/19/the-middle-class-gets-wise/	News	1	Education	Economy	Neutral	Neutral	nytimes.com	400
1501	http://www.nytimes.com/2013/10/26/nyregion/obama-visits-brooklyn-high-school.html	News	0	Education	Economy	SomewhatPositive	Neutral	nytimes.com	400
1512	http://www.nytimes.com/2013/06/05/us/politics/trade-nominee-has-500000-in-caymans-account.html	News	0	Elections	Economy	Neutral	Neutral	nytimes.com	400
1519	http://www.nytimes.com/2013/12/06/opinion/krugman-obama-gets-real.html	Opinion	1	Elections	Economy	Positive	Neutral	nytimes.com	400
1520	http://www.nytimes.com/2013/09/04/business/economy/business-losing-clout-in-a-gop-moving-right.html	News	1	Elections	Economy	Neutral	SomewhatNegative	nytimes.com	400
1527	http://www.nytimes.com/2013/01/05/opinion/nocera-over-the-cliff-and-back.html	Opinion	0	Elections	Economy	SomewhatPositive	SomewhatNegative	nytimes.com	400
1560	http://www.nytimes.com/2013/02/08/opinion/mary-jo-white-at-the-sec.html	News	1	Elections	Economy	SomewhatPositive	Neutral	nytimes.com	400
1566	http://www.nytimes.com/2013/04/21/opinion/sunday/dowd-president-obama-is-no-bully-in-the-pulpit.html	Opinion	1	Elections	Economy	SomewhatNegative	Neutral	nytimes.com	400
1584	http://www.nytimes.com/2013/01/16/opinion/friedman-obamas-1-2-punch.html	Opinion	1	Elections	Economy	SomewhatNegative	SomewhatNegative	nytimes.com	400
1590	http://www.nytimes.com/2013/11/10/opinion/sunday/douthat-dear-governor-christie.html	Opinion	0	Elections	Economy	Neutral	SomewhatNegative	nytimes.com	400
1593	http://www.nytimes.com/2013/08/07/nyregion/bloomberg-warns-of-rising-labor-costs-under-a-union-friendly-successor.html	News	0	Elections	Economy	Neutral	Neutral	nytimes.com	400
1626	http://takingnote.blogs.nytimes.com/2013/05/09/the-latest-g-o-p-temper-tantrum/	News	1	Environment	Economy	Neutral	SomewhatNegative	nytimes.com	400
1652	http://www.nytimes.com/2013/07/24/us/politics/house-gop-sets-new-offensive-on-obama-goals.html	Opinion	1	Environment	Economy	SomewhatPositive	SomewhatPositive	nytimes.com	400
1669	http://www.nytimes.com/2013/05/01/opinion/why-i-am-signing-marriage-equality-into-law-in-rhode-island.html	Opinion	1	Gay Rights	Economy	SomewhatPositive	SomewhatNegative	nytimes.com	400
1702	http://www.nytimes.com/2013/09/30/us/politics/time-short-but-gop-leaders-say-shutdown-can-be-avoided.html	News	1	Healthcare	Economy	Neutral	SomewhatNegative	nytimes.com	400
1733	http://www.nytimes.com/2013/09/22/opinion/sunday/dowd-americas-billionaire.html	News	0	Healthcare	Economy	Neutral	Negative	nytimes.com	400
1753	http://www.nytimes.com/2013/11/11/us/health-website-tests-a-tycoon-and-tinkerer.html	Opinion	0	Healthcare	Economy	SomewhatNegative	Neutral	nytimes.com	400
1768	http://www.nytimes.com/2013/07/26/opinion/krugman-republican-health-care-panic.html	Opinion	0	Healthcare	Economy	SomewhatPositive	Negative	nytimes.com	400
1781	http://www.nytimes.com/2009/09/10/us/politics/10obama.text.html	Opinion	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1793	http://www.nytimes.com/2013/07/29/us/detroit-looks-to-health-law-to-ease-costs.html	News	0	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1813	http://www.nytimes.com/2013/04/04/us/politics/misperception-of-government-benefits-makes-trimming-them-harder.html	News	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1816	http://takingnote.blogs.nytimes.com/2013/11/14/obamas-health-care-promise/	News	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1843	http://www.nytimes.com/2013/09/29/us/politics/budget-talks-government-shutdown.html	News	0	Healthcare	Economy	SomewhatNegative	SomewhatNegative	nytimes.com	400
1845	http://www.nytimes.com/2013/07/29/us/detroit-looks-to-health-law-to-ease-costs.html	News	1	Healthcare	Economy	SomewhatPositive	Neutral	nytimes.com	400
1862	http://www.nytimes.com/2013/10/02/business/economy/why-the-health-care-law-scares-the-gop.html	News	1	Healthcare	Economy	Neutral	SomewhatNegative	nytimes.com	400
1894	http://www.nytimes.com/2013/11/11/opinion/keller-salvaging-obama.html	Opinion	0	Healthcare	Economy	SomewhatPositive	Neutral	nytimes.com	400
1896	http://www.nytimes.com/2013/08/05/opinion/krugman-republicans-against-reality.html	Opinion	1	Healthcare	Economy	Neutral	Negative	nytimes.com	400
1903	http://www.nytimes.com/2013/10/23/opinion/emanuel-how-to-fix-the-glitches.html	Opinion	0	Healthcare	Economy	SomewhatNegative	Neutral	nytimes.com	400
1905	http://www.nytimes.com/2013/09/26/us/politics/obamas-approval-rating-matches-two-year-low-poll-shows.html	News	0	Healthcare	Economy	Negative	SomewhatNegative	nytimes.com	400
1907	http://www.nytimes.com/2013/11/20/opinion/edsall-the-obamacare-crisis.html	News	1	Healthcare	Economy	SomewhatNegative	Neutral	nytimes.com	400
1916	http://www.nytimes.com/2013/11/07/us/politics/obama-affordable-care-act-texas.html	other	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1923	http://www.nytimes.com/2013/11/01/business/when-insurers-drop-policies-three-stories.html	other	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1924	http://www.nytimes.com/2013/11/25/opinion/krugman-california-here-we-come.html	News	1	Healthcare	Economy	Neutral	Neutral	nytimes.com	400
1940	http://www.nytimes.com/2013/04/04/us/politics/misperception-of-government-benefits-makes-trimming-them-harder.html	News	0	Healthcare	Economy	SomewhatPositive	SomewhatPositive	nytimes.com	400
1972	http://www.nytimes.com/2013/08/13/world/americas/mexican-president-invites-foreign-investment-in-energy.html	News	1	International News	Economy	Neutral	Neutral	nytimes.com	400
1979	http://www.nytimes.com/2013/06/10/world/middleeast/iran-candidates-toe-hard-line-for-nuclear-bid.html	News	0	International News	Economy	Neutral	Neutral	nytimes.com	400
1995	http://www.nytimes.com/2013/03/09/business/global/09iht-fitch09.html	News	0	International News	Economy	Neutral	Neutral	nytimes.com	400
2005	http://www.nytimes.com/2013/02/25/opinion/krugman-austerity-italian-style.html	Opinion	1	International News	Economy	Neutral	Neutral	nytimes.com	400
2078	http://takingnote.blogs.nytimes.com/2013/06/14/g-o-p-spendthrifts-preserve-government-expansion/	Opinion	1	National Security	Economy	SomewhatPositive	SomewhatNegative	nytimes.com	400
2092	http://www.nytimes.com/2013/06/07/us/us-military-firms-eye-border-security-contracts.html	News	0	National Security	Economy	Neutral	Neutral	nytimes.com	400
2102	http://www.nytimes.com/2013/02/27/us/immigrants-released-ahead-of-automatic-budget-cuts.html	News	1	None	Economy	SomewhatNegative	Neutral	nytimes.com	400
2110	http://www.nytimes.com/2013/10/10/opinion/chairwoman-janet-yellen.html	Opinion	0	None	Economy	Neutral	Neutral	nytimes.com	400
2117	http://www.nytimes.com/2013/05/15/us/politics/for-gop-incentives-for-budget-deal-with-obama.html	News	1	None	Economy	Neutral	Neutral	nytimes.com	400
2123	http://www.nytimes.com/2013/07/15/opinion/krugman-hunger-games-usa.html	Opinion	0	None	Economy	Neutral	Neutral	nytimes.com	400
2133	http://www.nytimes.com/2013/01/20/realestate/what-is-middle-class-in-manhattan.html	other	1	None	Economy	Neutral	Neutral	nytimes.com	400
2141	http://www.nytimes.com/2013/03/12/us/for-detroit-a-financial-crisis-was-long-coming.html	Opinion	1	None	Economy	Neutral	Neutral	nytimes.com	400
2163	http://www.nytimes.com/2013/09/02/opinion/krugman-love-for-labor-lost.html	Opinion	1	None	Economy	Neutral	Negative	nytimes.com	400
2165	http://www.nytimes.com/interactive/2013/06/15/business/living-on-minimum-wage.html	News	1	None	Economy	SomewhatPositive	SomewhatNegative	nytimes.com	400
2203	http://www.nytimes.com/2013/12/17/nyregion/cornered-by-accusations-christie-parries-with-jokes-and-stonewalls-with-snarls.html	Opinion	0	Republican Scandals	Economy	Neutral	Negative	nytimes.com	400
2217	http://www.nytimes.com/2013/05/18/us/politics/obama-vows-to-focus-on-governing.html	News	0	Democrat Scandals	Education	SomewhatNegative	Neutral	nytimes.com	400
2231	http://www.nytimes.com/2013/11/06/us/politics/key-ballot-measures.html	News	1	Economy	Education	Neutral	Neutral	nytimes.com	400
2245	http://opinionator.blogs.nytimes.com/2013/10/19/the-middle-class-gets-wise/	Opinion	0	Economy	Education	Neutral	Neutral	nytimes.com	400
2281	http://www.nytimes.com/2013/04/10/nyregion/at-cardozo-law-school-outrage-over-choice-to-honor-president-carter.html	News	0	None	Education	Neutral	Neutral	nytimes.com	400
2283	http://www.nytimes.com/2013/02/17/magazine/can-the-republicans-be-saved-from-obsolescence.html	Opinion	1	Republican Scandals	Education	SomewhatPositive	SomewhatNegative	nytimes.com	400
2286	http://www.nytimes.com/2013/06/26/us/supreme-court-ruling.html	News	0	Civil Rights	Elections	Neutral	Neutral	nytimes.com	400
2305	http://www.nytimes.com/2013/05/09/opinion/blow-terms-of-art.html	Opinion	0	Civil Rights	Elections	Neutral	Negative	nytimes.com	400
2316	http://www.nytimes.com/2013/08/23/us/politics/justice-dept-moves-to-protect-minority-voters-in-texas.html	News	0	Civil Rights	Elections	SomewhatPositive	SomewhatNegative	nytimes.com	400
2330	http://www.nytimes.com/2013/06/05/nyregion/cuomo-womens-rights-plan-may-hinge-on-abortion-proposal.html	News	1	Civil Rights	Elections	SomewhatPositive	SomewhatNegative	nytimes.com	400
2338	http://www.nytimes.com/2013/06/26/us/supreme-court-ruling.html	News	1	Civil Rights	Elections	Neutral	Neutral	nytimes.com	400
2360	http://www.nytimes.com/2013/05/18/us/politics/irs-scandal-congressional-hearings.html	News	1	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2383	http://www.nytimes.com/2013/09/12/opinion/blow-its-a-mad-mad-mad-mad-world.html	Opinion	0	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2406	http://cityroom.blogs.nytimes.com/2013/07/08/spitzer-believes-voters-might-give-him-second-chance/	News	1	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2410	http://www.nytimes.com/2013/07/25/nyregion/racy-exchange-with-weiner-began-with-angry-message-blog-editor-says.html	Opinion	1	Democrat Scandals	Elections	Negative	Neutral	nytimes.com	400
2413	http://www.nytimes.com/2013/07/08/nyregion/spitzer-seeks-ballot-for-city-comptrollers-race.html	Opinion	1	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2415	http://www.nytimes.com/2013/01/20/opinion/sunday/love-marriage-and-voters.html	Opinion	0	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2418	http://www.nytimes.com/2013/08/20/us/politics/weary-of-harassment-scandal-san-diego-asks-wheres-the-mayor.html	News	1	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2428	http://cityroom.blogs.nytimes.com/2013/07/08/spitzer-believes-voters-might-give-him-second-chance/	News	0	Democrat Scandals	Elections	SomewhatNegative	Neutral	nytimes.com	400
2447	http://www.nytimes.com/2013/11/28/us/politics/illinois-lawmakers-say-they-have-plan-to-fix-underfunded-pension-system.html	News	0	Economy	Elections	Neutral	Neutral	nytimes.com	400
2451	http://thecaucus.blogs.nytimes.com/2013/01/24/republican-governors-open-new-front-in-tax-debate/	News	1	Economy	Elections	Neutral	SomewhatPositive	nytimes.com	400
2462	http://www.nytimes.com/2013/12/30/us/politics/democrats-turn-to-minimum-wage-as-2014-strategy.html	News	1	Economy	Elections	SomewhatNegative	Neutral	nytimes.com	400
2484	http://www.nytimes.com/2013/11/28/us/politics/illinois-lawmakers-say-they-have-plan-to-fix-underfunded-pension-system.html	News	1	Economy	Elections	Neutral	Neutral	nytimes.com	400
2493	http://www.nytimes.com/2013/01/02/business/economy/a-bigger-tax-bite-for-most-households-under-senate-plan.html	News	0	Economy	Elections	Neutral	Neutral	nytimes.com	400
2507	http://www.nytimes.com/2013/08/07/nyregion/bloomberg-warns-of-rising-labor-costs-under-a-union-friendly-successor.html	Opinion	1	Economy	Elections	SomewhatNegative	Neutral	nytimes.com	400
2520	http://www.nytimes.com/2013/07/10/opinion/the-decline-of-north-carolina.html	Opinion	0	Economy	Elections	Neutral	Negative	nytimes.com	400
2539	http://www.nytimes.com/2013/01/16/opinion/friedman-obamas-1-2-punch.html	Opinion	0	Economy	Elections	SomewhatNegative	Negative	nytimes.com	400
