	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
1095	http://www.breitbart.com/Big-Government/2013/12/08/David-Gergen-GAI-Report-Indictment-of-Obama-White-House-Operation-Bordering-on-Malfeasance	Opinion	1	Healthcare	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	"
A veteran Washington adviser who has worked for four Presidents on both sides of the political aisle said that the stunning Government Accountability Report  that found President Barack Obama has not had a one-on-one meeting with Health and Human Services Secretary Kathleen Sebelius since the passage of Obamacare over three years ago is an indictment of the entire White House operation and shows that the Obama administration has bordered on “malfeasance.” 
“I have no doubt the White House is right, that Secretary Sebelius was in several group meetings with the president about health care,” Gergen caveated, “but the whole point is, there was nobody in charge in the administration.”



Appearing on CNN’s Newsroom program Saturday night was David Gergen, a known Washington “fixer.” Some veteran Washington observers have even suggested that Obama should bring Gergen in to help manage the Obamacare rollout crisis. He was asked by CNN Anchor Deborah Feyerick about the GAI report. 
Feyerick cited a report from “an outfit called the Government Accountability Institute [that] finds the president and HHS Secretary Kathleen Sebelius held just a single one-on-one meeting after Obamacare was signed into law over three years ago.” 

“I don’t think this is simply sloppiness on the part of the White House,” Gergen said. “What seems to me is there’s a case of near malfeasance here.”
Gergen, who has served as Director of Speechwriting for the Nixon White House, Director of Communications for both Presidents Ford and Reagan, and then as a senior advisor to President Bill Clinton, is intimately familiar with how the White House operates. In addition, he normally takes a “neutral” position on most matters and often gives those in power the benefit of doubt.
But Gergen emphasized that the GAI report concerning the lack of meetings between Sebelius and Obama raises troubling issues about the conduct of affairs in the Obama White House.
Breitbart News Senior Editor-at-Large and Government Accountability Institute President Peter Schweizer unveiled the report on Wednesday on Fox News’s Hannity and Breitbart News. 
As Breitbart News has reported, Schweizer said there was no evidence on the White House schedule that showed Obama cared about Obamacare.

“In the case of President Obama, if you look at his calendar, there is no evidence whatsoever that he is focused or has much interest in health care at all,” Schweizer said on Hannity.
Feyerick, the CNN host, added that the White House had attacked the report, “Jay Carney [is] saying that the report’s misleading and based on a ridiculously false premise, those are his words David Gergen, what do you think about this?”
Gergen responded by saying the GAI report was a big deal and should not be dismissed. On Friday, White House Press Secretary Jay Carney said Obama and Sebelius meet “regularly” but their meetings were not recored on the visitors logs. Schweizer had previously noted that GAI also looked at White House visitor logs and found that whenever Sebelius went to the White House, it was for social functions with “dozens or hundreds of people.” And he noted on Hannity that if Obama met with Sebelius and left the meeting off the books, Sebelius would be the only cabinet secretary whose meetings with the White House were concealed.

Gergen faulted the White House for this lack of contact and condemned the whole White House operation. 
“The fact that he was not meeting with her one-on-one, I think, frankly, is not so much an indictment of her but of the White House operation,” he said. 
Gergen said that “at the same time three years pass with no one-on-one meetings according to this Politico article. The president had 277 one-on-one meetings with other members of his cabinet.” Gergen referenced Schweizer’s Politico article in which he mentioned that, “perhaps the insular White House team wanted to distance the president from the bureaucratic process in the hopes of granting him a halo of deniability if the launch failed.” Schweizer also noted “the lack of meetings reinforces the severity of what the New York Times describes as the ‘deeply dysfunctional relationship between the Department of Health and Human Services and its technology contractors, and tensions between the White House chief of staff and senior health department officials.'”
Feyerick, the CNN host, added, that if health care reform “was so important to the president, you would think that there was a lot more one-on-one interaction especially on something that’s so critical to him and his policy.” Princeton Professor Julian Zelizer, who was also on the panel, did not respond directly to the details of the GAI report, only to say that “we have to be careful because as the White House said, that [report] does come from a conservative organization.”  
The Government Accountability Institute, though, is a nonpartisan organization and its mission is to “investigate and expose crony capitalism, misuse of taxpayer monies and other governmental corruption or malfeasance.” GAI, headed by Schweizer, has written several reports in recent years and has been criticized by both the Obama White House and House Speaker John Boehner (R-OH). 
"
1096	http://www.breitbart.com/Big-Government/2013/11/13/Top-10-Senate-Dems-Who-Should-Apologize	Opinion	1	Healthcare	Democrat Scandals	Negative	SomewhatPositive	breitbart.com	"

Last week, President Obama apologized for misleading the American public with his false claim that “if you like your insurance, you can keep it.” Without this assurance, it is unlikely ObamaCare would have passed. Obama was not the only politician fudging the truth. Most Democrat lawmakers repeated this claim on the campaign trail and in meetings with constituents. If Obama apologized, they should as well, as they are equally culpable. 
Breitbart News has compiled a list of the Top 10 Senate Democrats who should follow Obama’s lead and apologize to the American public. These particular lawmakers either went all-in on the false claim for partisan reasons or were in a position to know that millions of Americans would not be able to keep their health insurance. 
If a reader interprets this list as a guide for whom to call in Congress, so be it. 


10. SEN. MARY LANDRIEU (D-LA): “If you like the insurance that you have, you’ll be able to keep it.” (MSNBC’s Hardball, 12/16/09)
Mary Landrieu, like all Senate Democrats, provided the deciding vote on passing ObamaCare. After 3 years, it is hard to remember all the parliamentary tricks the Democrats used to pass a bill that almost none of them had read. Landrieu, who is up for reelection next year, lied on TV. She should apologize. 
9. SEN. KAY HAGAN (D-NC): “We need to support the private insurance industry so that people who have insurance they’re happy with can keep it while also providing a backstop option for people without access to affordable coverage.” (“Republicans Vent As Other Compromise Plans Get Aired,” National Journal’s Congress Daily, 6/18/09)

160,000 residents of North Carolina has lost their health coverage. Sen. Hagan has been most aggressive in trying to separate herself from ObamaCare. No wonder, since even a Democrat poll has found her now in a statistical tie with any of her possible Republican challengers. In September,  Hagan held a 12-17 point lead. She is up for reelection next year and should apologize. 
8. SEN. MARK BEGICH (D-AK): “If you got a doctor now, you got a medical professional you want, you get to keep that. If you have an insurance program or a health care policy you want of ideas, make sure you keep it. That you can keep who you want.”
Begich won his Senate seat in 2008, after DOJ staffers trumped up false charges against the sitting GOP Senator Ted Stevens. Begich is running for reelection in Alaska, without the Obama wave and without a mythical DOJ investigation. He should apologize. 
7. SEN. MICHAEL BENNET (D-CO): “We should begin with a basic principle: if you have coverage and you like it, you can keep it. If you have your doctor, and you like him or her, you should be able to keep them as well. We will not take that choice away from you.”
Sen. Bennet heads to DSCC, the party arm to elect Democrats to the US Senate. He will have an outsized role in races across the country. He said his position on ObamaCare was based on a “basic principle.” He should apologize.  

6. SEN. PATTY MURRAY (D-WA): “Again, if you like what you have, you will be able to keep it. Let me say this again: If you like what you have, when our legislation is passed and signed by the President, you will be able to keep it.” (Sen. Murray, Congressional Record, S.6400, 6/10/09)
Let me say this again, as a senior member, and now Chair of the Budget Committee, Sen. Murray must have been in a position to know that these claims were false. She won her first race for Senate campaigning as a “soccer mom” in “tennis shoes.” Insert your own joke. 290,000 residents of Washington have lost their health insurance. She should apologize. 

5. SEN. TOM HARKIN (D-IA): “One of the things we put in the health care bill when we designed it was the protection for consumers to keep the plan they have if they like it; thus, the term ‘grandfathered plans.’ If you have a plan you like –existing policies–you can keep them. …we said, if you like a plan, you get to keep it, and you can grandfather it in.” (Sen. Harkin, Congressional Record, S.7675-6, 9/29/10)
Sen. Harkin has long been a slippery politician. As Chair of the Health Committee in the Senate, Harkin would have had more intimate knowledge of ObamaCare than most other lawmakers. His yowler here is he tries to claim that the “put in” language to ensure people could keep the plan they like. That is a sin of commission. Harkin, who is retiring, should absolutely apologize. 
4. SEN. CHUCK SCHUMER (D-NY): “If you like your insurance, you keep it.” (U.S. Senate, Finance Committee, Bill Mark-Up, 9/24/09)

Schumer, who was in a position to know the inner-workings of the law seems to have lied. Asking him for an apology, though, is like asking Anthony Weiner to become modestly self-aware. Still, he should apologize. 
3. SEN. DICK DURBIN (D-IL): “This bill before us on the Senate floor makes it clear that if you have an insurance policy that you like, you can keep it. If you like the doctor that you’re currently doing business with, you can continue to use that doctor.” (Sen. Durbin, Teleconference, 12/4/09)
Durbin is the Number 2 Democrat in the Senate, amazingly. He seems preternaturally disposed to obscuring the truth. He actually said the legislation “makes it clear” that you can keep your insurance. He either can’t read legislation or he was intentionally misleading the public. In any event, he should apologize. 
2.SEN. HARRY REID (D-NV):”In fact, one of our core principles is that if you like the health care you have, you can keep it.” (Sen. Reid, Congressional Record, S.8642, 8/3/09)
Core principles, apparently, aren’t what they used to be. Sen. Reid emptied out the parliamentary cupboard to get ObamaCare passed. As Majority Leader, he had to have a keen understanding of what was in the bill and what the consequences would be. The White House, at the time, was aware of the fact that many Americans would lose their health insurance. Surely, Sen. Reid was privy to the same information. He should apologize.
And, the #1 Senate Democrat who should apologize… 
1. SEN. MAX BAUCUS (D-MT): “That is why one of the central promises of health care reform has been and is: If you like what you have, you can keep it. That is critically important. If a person has a plan, and he or she likes it, he or she can keep it.” (Sen. Baucus, Congressional Record, S.7676, 9/29/10)
Sen. Baucus wrote most of the bill that became ObamaCare. He has been steeped in health care policy for decades. He was in a position to know, and had to know, that the “central promise” that people could keep their current health care coverage was a lie.
He should apologize, but unfortunately, he has chosen to retire rather than face the voters. I can only hope he does not go softly into the night.  



"
1104	http://www.breitbart.com/Big-Government/2013/11/17/D-C-Insurance-Commissioner-Fired-Day-After-Criticizing-Obamacare-Fix	News	0	Healthcare	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	"

Washington, D.C.’s insurance commissioner was fired a day after he criticized President Barack Obama’s “administrative fix” for Obamacare. 
William P. White, the D.C. insurance commissioner, told the Washington Post that D.C. Mayor Vincent Gray’s top deputies said Gray “wants to go in a different direction” after White was one of the first commissioners to push back against Obama’s “fix.”
Though White said he was not told that he was specifically fired for his criticism, he “said the timing was hard to ignore.” He said that 24 hours after his criticism, he was ‘basically being told, ‘Thanks, but no thanks.'”


Obama, in a Thursday White House press conference, announced an administrative fix that would allow insurance companies to extend plans that they have cancelled for another year. After that press conference, White, according to the Post, said Obama’s “action today undercuts the purpose of the exchanges, including the District’s DC Health Link, by creating exceptions that make it more difficult for them to operate.”

He also said that he concurred with the National Association of Insurance Commissioners’s assessment that Obama’s administrative fix “threatens to undermine the new market, and may lead to higher premiums and market disruptions in 2014 and beyond.”
According to the Post, “White’s statement was removed from the department’s Web site sometime before Friday morning.”
White was “Gray’s commissioner for the D.C. Department of Insurance, Securities and Banking since February 2011.” D.C. officials said he was removed because any criticism of Obama’s administrative fix needed to be vetted more thoroughly, and White failed acknowledge the misstep of not sending his statement criticizing Obama higher up the chain of command before releasing it. 
After Obama falsely promised Americans that they could keep their insurance plans under Obamacare, he has scrambled after millions received cancellation notices, and he eventually announced on Thursday his administration will allow insurance companies to let those whose insurance plans were cancelled to re-apply and keep their plans for another year. 
Whether insurance companies will be allowed to do so, though, will ultimately rest with the insurance commissioners of the states. And others, like Washington state’s insurance commissioner, have already rejected Obama’s “administrative fix,” vowing to “stay the course” with Obamacare. 
As the Post noted, Obama’s plan “rattled the insurance industry, which had set prices for next year based on many of its products changing to comply with the health-care law,” because “allowing some plans to continue beyond Jan. 1 could also run afoul of provisions in laws passed by dozens of states and the District to implement” Obamacare. 
"
1117	http://www.breitbart.com/Big-Peace/2013/05/10/White-House-Benghazi-off-the-record	Opinion	1	International News	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	"
In the White House’s latest efforts at transparency, the administration announced to reporters that it would brief reporters on the latest shocking developments about the Benghazi situation … behind closed doors. Politico reports that the meeting started at approximately 12:45 PM ET, and that it moved the normal press briefing to 1:45 PM ET. Jay Carney, White House press secretary, did not comment on whether the meeting took place.

Politico reports:

The off-the-record session was announced to reporters in the wake of an ABC News report showing that White House and State Dept. officials were involved in revising the now-discredited CIA talking points about the attack on Benghazi.

The administration routinely exerts pressure on reporters it feels are not kind enough in their coverage. Reporters like Cheryl Attkisson of CBS News have felt the hand of their bosses for “wading dangerously close to advocacy” with regard to Benghazi. No doubt this “off-the-record” meeting was designed to get all the president’s horses and all the president’s men to put the Benghazi humpty dumpty together again.
UPDATE: Reporters not invited to the off-the-record briefing are reportedly incredibly unhappy about it:


UPDATE II: Jake Tapper of CNN reports that the regularly scheduled press briefing has been delayed even further:

UPDATE III: Politico now reports that the meeting has been characterized as “deep background.” The existence of the meeting itself is considered “off-the-record.” White House spokesman Josh Earnest said, “Deep background means that the info presented by the briefers can be used in reporting but the briefers can’t be quoted.” So expect a fair number of “White House sources” to appear in reportage for the next few days.
UPDATE IV: Jay Carney began his on-the-record press briefing by announcing that 14 news organizations were invited to the closed door briefing, but that it was not a substitute for the on-the-record briefing. He then announced that it was “erroneous” to describe the briefing as “off-the-record,” and instead suggested it was “deep background.”
Ben Shapiro is Editor-At-Large of Breitbart News and author of the New York Times bestseller “Bullies: How the Left’s Culture of Fear and Intimidation Silences America” (Threshold Editions, January 8, 2013).



 

"
1118	http://www.breitbart.com/Big-Government/2013/06/14/Rubio-Allies-Plot-to-Smear-Immigration-Bill-Opponents	News	1	International News	Democrat Scandals	Neutral	SomewhatNegative	breitbart.com	"

On Friday, two prominent Republican backers of the Senate immigration bill hosted a conference call with reporters to reveal the “history” behind some organizations opposing the legislation. According to the speakers, a significant amount of the opposition to immigration reform is being led by liberals, environmentalists and pro-abortion and eugenics activists worried about population growth. 
“[T]he primary leaders and funders of the anti-immigration movement were drawn to it because they were also active organizers and supporters of, and contributors to, the population-control movement in the United States,” Mario Lopez, a speaker on the call, recently wrote. Lopez is President of the Hispanic Leadership Fund. Lopez was joined on the call by Josh Culling, with Grover Norquist’s Americans for Tax Reform.
This ad hominem argument is both inane and irrelevant. People come into issues from all kinds of vantage points. I have no doubt that there active immigration reform opponents who are liberals or have overblown worries about population growth. Those views, however, don’t discredit what they may say on a different issue. Nor do those views discredit what people without those views believe on an issue. 


Friday’s call was a leftist tactic to discount what millions of Americans feel about an issue because some other people hold views with which they would disagree. It was reminiscent of the media’s attempt to smear the entire Tea Party movement because a handful of people said or did something stupid. 

Even if one were to cede the premise that an entire infrastructure to oppose immigration reform were built by population control activists, the fact is immaterial to the concerns many have about the legislation before the Senate. Even if you support expansive legal immigration, it is a bad bill. Its fatal flaw is that it doesn’t secure the border or increase enforcement in any meaningful way. One doesn’t have to be a population control zealot to see the fundamental problem with that approach. 
Surely, the speakers would hopefully acknowledge, there are many opposed to the Senate bill who don’t believe in population control. I would wager the overwhelming majority of Americans who have concerns about the bill are not advocates of abortion or eugenics to control the population. So, why are the views of a decided minority relevant to an issue with national implications? 
The richest irony of the call was that the speakers are allies of groups like SEIU and La Raza in supporting the specific Senate proposal. One could just as easily have a convened a press call to discuss the “history” behind these groups and why conservatives should be cautious about working with them. The speakers on the call, for example, acknowledged doing at least some work with the National Immigration Forum, which has received considerable funding from George Soros’ Open Society Institute. Is that the proper alliance for a conservative?
No one should schedule such a call, however. Issues should be decided on merits, not ad hominem aspersions about someone else’s motives. The call was an attempt to smear all opposition to the Senate bill as arising out of the questionable beliefs of a few people. It was an attempt to quash, rather than foster, debate on the underlying merits of the proposal.
The call also perpetuated a dangerously false choice. Conservatives should either accept legislation largely written by Sen. Chuck Schumer or be labeled as against reform. That our allies are forcing this choice is unconscionable.  


  
"
1125	http://www.breitbart.com/Big-Government/2013/06/20/Obama-catholic-AMericans-religious-freedom	News	0	International News	Democrat Scandals	Negative	Neutral	breitbart.com	"
Speaking in Ireland this week, President Obama stated that Catholic schools were divisive: “If towns remain divided–if Catholics have their schools and buildings and Protestants have theirs, if we can’t see ourselves in one another and fear or resentment are allowed to harden–that too encourages division and discourages cooperation.” On Thursday, the American Catholics for Religious Freedom fired back on President Obama’s words to 2,000 young people at the G8 Summit, stating, “President Obama’s anti-faith, secular agenda was shamefully on full display yesterday when he told the young people of Northern Ireland that Catholic education and other faith-based schools were divisive and an obstacle to peace.  All Americans of faith should be outraged by these comments which clearly telegraph the President’s belief system and are in fact at their core even anti-American.”

American Catholics for Religious Freedom points out that the media has completely ignored the story, and adds, “Secular progressives like President Obama ignore the truth that faith-based education is a component of the Religious Freedom guaranteed by the Constitution.  He can’t bear the thought that Catholic and parochial schools not only teach important values but consistently produce better educational results at lower cost than America’s failing public schools. The President’s troubling values are showing here in a way that demonstrate just how dangerous this Administration is and how committed it is to eroding the rights of all people of faith.”


And, they note, this is the same President who has attempted to cram down anti-Catholic doctrine via Obamacare. “It’s time Americans stood up for Religious Freedom, for the U.S. Constitution and against President Obama’s radical views about the place of faith in American life,” the group concludes.
Ben Shapiro is Editor-At-Large of Breitbart News and author of the New York Times bestseller “Bullies: How the Left’s Culture of Fear and Intimidation Silences America” (Threshold Editions, January 8, 2013).

"
1126	http://www.breitbart.com/Big-Peace/2013/08/22/In-Foreign-Affairs-Obama-s-Not-Bush-Non-Policy-Collapses	News	1	International News	Democrat Scandals	Negative	Neutral	breitbart.com	"
The alleged use of deadly chemical weapons by the Syrian regime against civilians and opponents on the anniversary of President Barack Obama’s “red line” statement might have marked the collapse of Obama’s foreign policy–if such policy actually existed. In fact, however, the Obama administration has no foreign policy other than its continued opposition to the perceived postures of George W. Bush, more than four years gone.
Obama’s policy in Syria had been to rehabilitate the dictatorship of Bashar al-Assad. Well before he won the presidency, Democrats–including current Secretary of State John Kerry–made a point of visiting Assad to show their approach to foreign relations was different from, and more effective than, the allegedly confrontational approach of the Bush administration. Syria’s nuclear weapons program, exposed when Israel destroyed it in 2007, did not prompt any change in Democrats’ approach to the regime.


Therefore Obama renewed diplomatic relations and re-opened the U.S. embassy in Damascus, elevating the status of the regime. Then-Secretary of State Hillary Clinton even referred to Assad as a “reformer.” The hope was that doing so would convince him to side with the U.S. over Iran, and to win goodwill in the Arab world more generally.
In Egypt, the Obama administration adopted a similar approach, i.e. appeasing a tyrant with the intention of establishing a clear break with Bush’s pressure for democratic reforms and encourage a new perception of the U.S. as more open to the Arab and Muslim worlds. In the midst of an orgy of federal spending, Obama cut funding for pro-democracy groups in Egypt and prioritized relations with Hosni Mubarak’s regime.
At the same time, however, Obama began trying to rehabilitate the Muslim Brotherhood, not because he wished to encourage a democratic process in Egypt that might include their participation, but because he wished to appease Islamist sentiment in general. His administration refused, for example, to identify radical Islam as the source of terrorism, and even redefined the term “war on terror” itself as “overseas contingency operations.”

Therefore when the Arab Spring erupted in 2011, the Obama administration initially tried to argue that he was not a “dictator.” Then, as media criticism began to mount, Obama switched sides and backed Mubarak’s ouster, all the while claiming that he had not, in fact, changed his policy. His previous efforts to rehabilitate the Muslim Brotherhood as a legitimate organization gave some amount–though not much–of legitimacy to that claim. 
Today, in the aftermath of the Egyptian coup, Obama’s foreign policy has lost even the pretense of principle. He is showing outrage at the Egyptian military’s treatment of the Muslim Brotherhood protestors, cutting some aid and canceling joint military exercises (none of which he did in response to the Brotherhood’s own excesses when in power). Yet he refuses to call the coup itself a “coup,” or to cut all aid to the Egyptian military.
Meanwhile, in Syria, Obama is still refusing to do anything that might actually deter the regime from using banned weapons–such as imposing a no-fly zone, for instance–while accelerating aid to the Syrian rebels, who are dominated by anti-American jihadists. His policies are all half-measures and contradictions. Faced with the fact that his academic anti-colonialism has little real-world relevance, he is just avoiding any real commitments.
In fact, the only real foreign policy priority of the Obama administration is to avoid being blamed for anything that could possibly go wrong. He concluded his remarks on Egypt last week by insisting: “We don’t take sides with any particular party or political figure. I know it’s tempting inside of Egypt to blame the United States or the West or some other outside actor for what’s gone wrong.” The buck stops…with Egypt, he said. Not with me.
That is not to say that the Middle East’s current problems are easy to resolve. Republicans and conservatives have had a tough time coming to a consensus about what should be done. The Arab world presents only bad options and worse options: a genocidal regime in Syria versus brutal jihadist groups; a military tyranny in Egypt versus radical Islamists with hegemonic ambitions. The dangerous temptation to withdraw is strong.
The one point of agreement among conservatives–even the likes of Patrick Buchanan, these days–is that the U.S. should primarily be concerned with shoring up Israel against common enemies such as Al Qaeda and Iran. In other words, the best path might be to focus on the sole U.S. ally in the region. But the Obama administration has done the opposite, pressuring Israel and giving Iran leeway, despite continued frustration.
It is arguable that the Bush administration had a similarly rudderless foreign policy when it took office in 2001, driven only by the desire to do the opposite of its predecessor. Yet it pulled together a new strategy–however flawed–after 9/11, when circumstances had changed. Obama has failed to learn from crisis–whether the Green Revolution in Iran in 2009, or the Arab Spring and its aftermath. “Not Bush” is a non-policy, but a real failure.
"
1133	http://www.breitbart.com/Big-Peace/2013/07/03/Egypt-Kerry-yacht	News	1	International News	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	"
As the Egyptian military effectively declared a coup, overthrowing the elected government of repressive Muslim Brotherhood President Mohammed Morsi, the Obama administration struggled to come up with a coherent strategy to deal with the situation. 
President Obama released a statement on Morsi’s ouster, suggesting that his administration “does not support particular individuals or political parties, but we are committed to the democratic process and respect for the law.” With those principles in mind, Obama declared himself “deeply concerned” and called for a transition to civilian rule. He refused to state whether the United States would withdraw aid to Egypt, saying only that he had directed a comprehensive review process.


Simultaneously, the State Department, which issued a mandatory evacuation order to non-essential personnel on Wednesday, said it would not take sides in the Egyptian situation. “We haven’t taken sides and don’t plan to take sides here,” said State Department spokeswoman Jen Psaki.
In an embarrassing signifier of the level of chaos plaguing the administration, Secretary of State John Kerry called into the top level meetings from a secure phone. According to CBS producer Mosheh Oinounou, Kerry was on the “Isabel” on Wednesday afternoon. Oinounou said that when another CBS producer yelled “Morsi!” to Kerry, she received no response. Oinounou tweeted this photo:


Later, Oinounou reported that the State Department denies his claim that CBS reporters saw Kerry aboard his yacht; the State Department maintains that Kerry has been working on Egypt “all day.”
Whether Kerry was working all day or not on the strategy, it’s clear that confusion reigns at the highest levels. President Obama in Cairo in 2009 decried the “overthrow of a democratically-elected Iranian government” in the 1950s; when Honduras’ military ousted a would-be dictator, the Obama administration originally kicked back before caving. Now, it seems that the administration can’t label the military coup a military coup, and won’t label it a democratic movement.
President Obama isn’t even leading from behind at this point, simply because he can’t tell which direction is behind.
NOTE: This post has been edited to reflect the State Department’s denial of the original CBS report regarding Kerry’s presence on his yacht.
Ben Shapiro is Editor-At-Large of Breitbart News and author of the New York Times bestseller “Bullies: How the Left’s Culture of Fear and Intimidation Silences America” (Threshold Editions, January 8, 2013).

"
1146	http://www.breitbart.com/Big-Government/2013/02/06/The-Corrupt-Origins-of-the-Melgen-Menendez-Dominican-Port-Security-Deal	Opinion	1	International News	Democrat Scandals	Negative	Neutral	breitbart.com	400
1152	http://www.breitbart.com/Big-Peace/2013/07/05/State-Department-lied-Kerry-boat	Opinion	0	International News	Democrat Scandals	Negative	Neutral	breitbart.com	"
"
1153	http://www.breitbart.com/Big-Peace/2013/03/02/Report-FBI-Benghazi-Survivor-Interviews-Delivered-To-Senate-Intel-Committee	News	0	International News	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	400
1159	http://www.breitbart.com/Big-Journalism/2013/05/11/Brother-top-Obama-Offical-Oust-Sharyl-Attkisson	News	1	National Security	Democrat Scandals	SomewhatNegative	Neutral	breitbart.com	"

Saturday morning Patrick Howley of The Daily Caller dropped another nuke on the fire that is Benghazi-Gate. Howley connects the dots surrounding a number of recent leaks coming of out CBS News about the fate of its award-winning investigative reporter, Sharyl Attkisson. 
From the beginning, Attkisson has been one of the few mainstream journalists willing to dig into the September 11 terror attack in Libya, and the Administration’s response to it. Fearing the story might lead exactly where it did yesterday with Jonathan Karl’s bombshell report, the mainstream media has poured most if its energy into wishing the story away or playing Palace Guard for the White House. 
Attkisson’s dogged pursuit of the truth has not only pitted her against a media desperate to protect Obama, but also, apparently, against her bosses at CBS News, one of whom is the brother of a top Obama official.


Moreover, CBS News president David Rhoades is not only the brother of President Obama’s national security advisor, Ben Rhodes, but ABC News reports that Ben Rhodes was very much involved in the editing of the now-infamous CIA talking points. 
So…
1. According to ABC News, Obama’s national security advisor Ben Rhodes was deeply involved in the editing of the CIA talking points.  

2. These same CIA talking points are central to what many believe is a White House coverup.
3. Ben Rhodes is the brother of CBS News president David Rhodes.
4. At CBS News, Sharyl Attkisson is one of the only mainstream media journalists with the dogged determination and moral courage to demand the truth about the White House’s involvement in the CIA talking points.  
5. For months now  reports have surfaced that Attkisson’s bosses are unhappy with her, that she has trouble getting her Libya stories on the air, and that she’s being accused of engaging in “advocacy.” 
Read the full Daily Caller piece here. 
 
Follow John Nolte on Twitter @NolteNC                
"
1174	http://www.breitbart.com/Big-Peace/2013/04/07/Seven-Hundred-Retired-Military-Special-Ops-Tell-Congress-To-Form-Select-Committee-On-Benghazi	Opinion	1	National Security	Democrat Scandals	Negative	SomewhatPositive	breitbart.com	"

Seven hundred retired Military Special Operations professionals from the organization “Special Operations Speaks” sent a letter to the House of Representatives urging members to support H.Res 36, which will create a House Select Committee to investigate last September’s deadly terrorist attack in Benghazi, Libya.  
Congressman Frank Wolf (R-VA), a sub-committee chairman on the House Appropriations Committee, issued a resolution for a House Select Committee to investigate issues surrounding the Benghazi Attack last November in the 112th Congress. He re-issued his resolution for the select committee when the 113th Congress began. The resolution currently has over 60 co-sponsors.
Only Speaker John Boehner (R-OH) can appoint a Select Committee and Boehner appears to mainly rely on the House Permanent Select Committee on Intelligence to investigate the Benghazi attack. However, any information that may be garnered from that committee will, as always, remain classified.


“As a retired Special Operations officer who spent most of my thirty-six years preparing for and executing rescue missions to save fellow Americans, I am deeply troubled by the events in Benghazi on September 11, 2012. The men and women who I served with lived by an ethos that pledged to never leave a fallen comrade and to make every effort to respond when a fellow American was threatened. I have seen men take great risks to save a fellow warrior. I have even seen men die trying to do so,” wrote General William G. ‘Jerry’ Boykin in a statement to Breitbart News. 
Boykin added, “The lack of accountability regarding the Benghazi event disturbs me greatly and bears the earmarks of a cover up. America is entitled to a full accounting of this egregious attack on our people with some explanation as to why there was no effort to save the Americans in the US Embassy annex and the CIA station, or at least to recover their bodies before they fell into Libyan hands. Our Congress has yet to fulfill its responsibility to provide a complete analysis of the attack or to provide answers as to what exactly happened. A  bi-partisan Special Committee is needed to determine the truth about Benghazi.”
Last month, Rep. Wolf, along with Rep. Jim Gerlach (R-PA), a House Ways and Means Committee member, sent a letter to Secretary of State John Kerry demanding more information on State Department employees who survived the Benghazi attack. In his letter to Kerry, Wolf noted that sources say that as many as 30 survivors of the Benghazi attack were allegedly wounded. Seven of those thirty were said to be critical injuries.  Sec. Kerry confirmed he visited an injured Benghazi survivor at Walter Reed. 

Rep. Darrell Issa (R-CA), Chairman of the House Oversight Committee, pointed to Kerry’s admission as a reason why he expects to speak with Benghazi survivors. “Now that Secretary Kerry has publicly, essentially a Senator, in a post way, has chosen to visit with them, any claim that they’re not available at this point to Congress is unsupportable. And I look forward to oversight by all committees,” Issa told Breitbart News. 
Since Rep. Jason Chaffetz (R-UT) first told Breitbart News in December that the Obama administration had not been allowing him or any other member of Congress to see Benghazi survivors, more Republican members, including Senators Lindsey Graham (R-SC) and John McCain (R-AZ) are calling for survivors to be allowed to testify at hearings on Capitol Hill without fear of legal or career repercussions.
Signers of the letter believe the House Select Committee should look into a number of issues, including the lack of military response to the events in Benghazi, if any non-military assistance was provided during the attack; the number U.S. personnel who were injured in Benghazi; the current locations of survivors; the names of the individuals in the White House Situation Room (WHSR) during the entire 8-hour period of the attacks and was a senior US military officer present.
“As veterans from all aspects of Special Operations, we have no doubt that there’s a lot more to what happened in Benghazi than President Obama and his Administration are letting on. From the very beginning, he has attempted to mislead and outright lied to the American people about why the attack on September 11th, 2012 happened, how it happened, and what our government did or did not do to save the lives of our patriots abroad,” former Navy SEAL Captain Larry Bailey wrote in a statement to Breitbart News.
The representatives from the retired military community want “a full accounting of the events of September 11, 2012,” adding that the,  “American public be fully informed regarding this egregious terrorist attack on US diplomatic personnel and facilities. We owe that truth to the American people and the families of the fallen.” 
SOF 700 Letter 4713
"
1181	http://www.breitbart.com/Big-Journalism/2013/02/28/Chris-Matthews-Stalinist-Defense-of-Hagel	Opinion	1	National Security	Democrat Scandals	Negative	Neutral	breitbart.com	400
