index	true_label	text	lime	pred_label
10	0	Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.	[('group', -0.02904107122671834), ('commentator', -0.02128603878509885), ('George', -0.020296265066966655), ('Lincoln', 0.017812818640220482), ('Republican', 0.016424182493048556), ('Bill', 0.016149333882849542)]	0
11	1	Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. 	[('after', -0.03510722966588083), ('closed', 0.03493667986694644), ('polls', 0.030899108915349447), ('take', -0.012932150107782162), ('capital', 0.01206893522844559), ('and', -0.010665620379288934)]	0
12	1	But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.	[('American', -0.021633386705097207), ('failed', -0.020364674615573522), ('who', -0.018486492004458555), ('at', -0.017631384821267124), ('to', 0.014956184743036378), ('one', -0.01477400942609365)]	0
13	0	Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.	[('George', -0.015829507834806987), ('rights', -0.01471308200549019), ('systemic', -0.012968850098909095), ('and', -0.011373907752293482), ('took', -0.009508801316411583), ('women', 0.007396544516404252)]	0
14	1	Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.	[('seen', -0.02098157494724198), ('international', -0.018312647658286444), ('or', 0.013772996505476403), ('don', -0.01321337952533272), ('in', -0.008923042181515925), ('and', -0.007687261261005212)]	0
15	0	Cuba’s health ministry initially vowed an investigation into Paloma Dominguez Caballero’s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.	[('essentially', -0.023794765735798747), ('an', 0.01631373257894338), ('ministry', -0.015766286087035675), ('week', -0.01331199278971143), ('of', 0.011913740251228502), ('death', 0.01083353449109545)]	0
16	1	In other words, the agency responsible for protecting consumers now wants to make it easier for them to get stuck in a cycle of debt they can never repay.	[('can', -0.025084249446350605), ('agency', 0.023556912334297044), ('get', 0.016084429644886496), ('of', 0.014196547154593687), ('now', 0.013027312544591893), ('words', -0.012590851672893862)]	0
17	0	Even as U.S. immigration officials have pushed to deport hundreds of Iraqi Christians over the last few years, asserting in court that they are unlikely to be targeted in their homeland, another arm of the Trump administration has insisted just the opposite, saying that Christians in Iraq face terror and extortion.	[('administration', 0.02602185959082562), ('years', -0.02422454023035444), ('has', -0.020437582465558133), ('face', 0.018187713673527534), ('over', -0.017116005749149812), ('few', -0.012242352776888874)]	0
18	0	Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.	[('among', 0.022640141171301593), ('particular', -0.016284842503978256), ('comments', -0.015401642442029706), ('activists', 0.01442111754832887), ('around', -0.014012631464355947), ('direct', -0.013895303287358673)]	0
19	1	A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.	[('has', -0.020544853806928293), ('church', -0.015219751633375429), ('an', 0.015151541583423066), ('rights', -0.01480593213827985), ('from', -0.014616636868136423), ('stance', 0.009359507236646941)]	0
20	1	Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus	[('discredited', -0.00766944473649652), ('ally', 0.007595756365262221), ('under', 0.007294901226044407), ('for', 0.005680745097166228), ('about', -0.003331409198948472), ('comes', 0.0032537060504502194)]	0
21	0	The taxpayer-funded BBC has announced that 16-year-old eco-warrior Greta Thunberg will be guest-editing the broadcaster’s flagship current affairs radio programme, the Today show.	[('has', -0.028775834352719225), ('will', -0.023680237349702028), ('guest', 0.013910226231830894), ('the', -0.010040036319116374), ('year', 0.009914449664721747), ('Today', 0.008344947393824022)]	0
22	0	The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.	[('after', -0.03379678997327954), ('local', -0.027152769223365278), ('State', 0.020540063367698615), ('face', 0.014377992574139029), ('cities', 0.013094750808326137), ('which', -0.012074588462966794)]	0
23	1	Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.	[('our', -0.019586514926230154), ('will', -0.015100234696977261), ('of', 0.01090257561949329), ('and', -0.00930476875915624), ('to', 0.006466758506159599), ('to', 0.005964234069930409)]	0
24	1	That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”	[('has', -0.02454185042822633), ('reopen', 0.021726988472371655), ('Twitter', -0.021084742293283564), ('led', 0.020811108561597316), ('capitals', -0.011814116749528272), ('join', 0.008482831527208284)]	0
25	1	Mississippi’s Republican governor signed one of America’s strictest abortion bills on Thursday banning women from obtaining an abortion once a fetal heartbeat is detected, which can often occur before a woman even realizes she is pregnant.	[('Republican', 0.019364868771527433), ('pregnant', -0.01861212227154893), ('can', -0.016864239726025694), ('Thursday', -0.016498060046197853), ('signed', -0.01591497427627255), ('an', 0.012665080672280522)]	0
26	1	That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.	[('people', 0.021457867931932304), ('should', 0.02135075683097852), ('who', -0.01867395287322178), ('and', -0.014532430860934715), ('of', 0.008942543937660835), ('know', -0.006832352819258625)]	0
27	1	President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.	[('endorsing', -0.029961677103654945), ('State', 0.029769891716913285), ('of', 0.015574122225522069), ('former', 0.007783167917233442), ('Trump', -0.007685709144957401), ('former', 0.007049008224706)]	0
28	1	Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.	[('critical', -0.01939357578791784), ('and', -0.013460621955298206), ('visit', 0.012234774280616766), ('which', -0.0101965485739524), ('from', -0.010070860538548469), ('to', 0.008641431947020873)]	0
29	0	The other witnesses at the hearing shared story after story about how Americans are struggling to pay off student loans, with many having to delay getting married, buying a home, and having children.	[('after', -0.034215914532546805), ('getting', 0.023411836792729956), ('children', -0.017812701984801792), ('Americans', 0.014448908956013124), ('and', -0.014357244369854293), ('pay', -0.013422106546531996)]	0
30	0	French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.	[('after', -0.03945499367985745), ('has', -0.026814020836738298), ('will', -0.01850538197478263), ('be', 0.017563765728020018), ('and', -0.014261416418834846), ('of', 0.008102409282338076)]	0
31	1	Young women taking part in high school and college athletics across the country have had their dreams of winning dashed by the movement to allow biological male who “identify” as female to compete against them.	[('allow', -0.02821306509297506), ('part', -0.025494268032186664), ('country', 0.02459988620302188), ('college', -0.013345857761930889), ('female', -0.011936580649150945), ('them', 0.010132162838794466)]	0
32	0	Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.	[('support', 0.030652664172519658), ('part', -0.021295529955970807), ('country', 0.0212697341860502), ('call', -0.01687918796485049), ('and', -0.012136272333398248), ('of', 0.009022452360684597)]	0
33	1	Under current immigration policies, it’s possible that immigration arrests could lead to poor mental health by increasing deportation fears among undocumented individuals and their families and neighbors, the study authors write.	[('could', 0.042294962790137815), ('policies', 0.021177335025475415), ('among', 0.020464945019480072), ('health', 0.01761703637523013), ('possible', -0.017570288184131994), ('arrests', 0.015377177236672186)]	0
34	1	Less-organized migrants, tighter immigration control by Guatemalan authorities and the presence of U.S. advisers have reduced the likelihood that the hundreds of migrants who departed Honduras will form anything like the cohesive procession the term “caravan” now conjures.	[('will', -0.027167934175144407), ('now', 0.01991183147080587), ('presence', -0.017651705357443745), ('and', -0.01137300704889093), ('control', -0.009498087231542105), ('like', 0.00897511548932125)]	0
35	0	U.S. Education Secretary Betsy DeVos is withdrawing protections put in place by former President Barack Obama for students who have mismanaged or are defaulting on their college loans.	[('former', 0.01817936395831893), ('place', 0.016962639840387962), ('Education', -0.01619882775928432), ('by', 0.014112176540967674), ('students', -0.012026593295038924), ('have', -0.008906299309447396)]	0
36	1	Trump enjoys and encourages state brutality against people of color, and black people in particular. It excites him and his most ardent followers. But his response isn’t just based on personal predilections. It’s also based on political considerations.	[('most', -0.03209671778764229), ('people', 0.016267245562779382), ('state', 0.015778243562606382), ('people', 0.01539131516599405), ('color', 0.0139159936794101), ('also', -0.012556046009280184)]	0
37	0	For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.	[('Forum', 0.01392265975050592), ('found', 0.012386296149575687), ('by', 0.0116930526836906), ('World', -0.011506219001716828), ('events', -0.010874962307397712), ('from', -0.010502542828451632)]	0
38	1	Abortionists, who prey on desperate people, should no longer receive your hard-earned tax dollars.	[('people', 0.024763976262631295), ('should', 0.02356529852553843), ('tax', 0.011635107638345929), ('hard', 0.00943292387252432), ('who', -0.007483228641520135), ('no', -0.007406534180831022)]	0
39	1	The Trump administration has continued to deny climate change findings and make scientific reports inaccessible to the public.	[('administration', 0.047031793118425994), ('has', -0.029783703846785484), ('deny', -0.014081396787329782), ('reports', 0.01262983312236876), ('continued', 0.011705648272627338), ('and', -0.01116092814085036)]	0
40	0	As controversies about the “reopening” of America loom over our lives, nothing seems as intrinsically irrelevant — yet possibly as critically important — as how soon major spectator sports return.	[('our', -0.02332809090843386), ('over', -0.02331308215136662), ('As', 0.017394717662364424), ('critically', -0.013259526040979509), ('seems', 0.011959300617098215), ('yet', 0.008794085702808686)]	0
41	1	In the months that followed, all independent polling has found the American mainstream not only blames Trump and his party for the shutdown, but also does not want to spend billions of taxpayer dollars on an ineffective and unnecessary border wall.	[('has', -0.033439527949583256), ('months', 0.02635458468276798), ('spend', -0.020651696046637386), ('billions', -0.016550704088478883), ('also', -0.015017066294999326), ('followed', 0.012575827977932353)]	0
42	0	Members of the German Green Party have proposed that so-called “climate refugees” should be allowed to move to the country and receive a German passport upon their arrival.	[('so', 0.030468501222303376), ('allowed', 0.025653656707746643), ('country', 0.024376127874542994), ('should', 0.024227617370756013), ('upon', -0.0173169893283519), ('of', 0.015249714300334987)]	0
43	1	Kendrick, who, like many Planned Parenthood supporters, blames men for pro-life legislation while she ignores mention of the life of unborn babies, also drafted a “testicular bill of rights.	[('who', -0.02223000997572925), ('also', -0.01915604589900265), ('she', -0.018456016709314526), ('blames', -0.009961438125279382), ('while', -0.009855798098729416), ('Parenthood', 0.007652511889669448)]	0
44	1	"UFC Middleweight Champion Israel Adesanya’s comment that his opponent will ""crumble like the Twin Towers"", in addition to being terrible and inappropriate, also makes no sense. "	[('being', -0.033090422502082474), ('will', -0.015167996023711197), ('in', -0.013782193025421384), ('sense', -0.01285154195085406), ('makes', 0.010518944669356597), ('like', 0.010246343567116909)]	0
45	1	Yet when researchers in the U.S. have been so corrupt they have gone to jail, mainstream scientists still accept their research.	[('so', 0.027097264158676533), ('to', 0.02146388407409343), ('in', -0.020795991466229576), ('been', -0.01617483484358638), ('research', -0.01598817804152898), ('still', 0.015045981181868725)]	0
46	1	Donald Trump has taken heat for mostly refusing to mask up while performing his duties. This left the Biden camp with a choice to make when Joe woke up from political hibernation, and they went all in.	[('has', -0.025132714258690785), ('went', 0.018820904628817456), ('while', 0.016782710543885117), ('choice', -0.014086118740401212), ('make', 0.013393468337348148), ('This', 0.010056209650652556)]	0
47	1	Omar believes USA Powerlifting is discriminating against males who identify as transgender women, based on the “myth” that they have a “direct competitive advantage” over biological females.	[('over', -0.022276094379634456), ('they', 0.013604989480194778), ('believes', -0.011655108526219975), ('have', -0.010333329938804717), ('based', 0.009485686351960957), ('who', -0.009425883506184065)]	0
48	1	Christians should make clear that the perpetuation of objectionable vaccines and the lack of alternatives is a kind of coercion.	[('kind', -0.027733485628975377), ('should', 0.020875014132723715), ('clear', -0.016890271687605235), ('the', -0.007317972926646495), ('the', -0.007311526141368554), ('that', -0.0072762868723689885)]	0
49	1	Democrats really don’t want to spend billions of taxpayer dollars on a giant, ineffective border wall, so if Trump were try to come up with an offer designed to entice them, he’d have to propose something that would be (a) enormous; and (b) wildly unpopular among Republicans.	[('spend', -0.025888402136447462), ('if', -0.025785048691159156), ('propose', -0.018875605891138403), ('billions', -0.018540830027398182), ('don', -0.0156411120036279), ('so', 0.013886331981297654)]	0
50	0	Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.	[('children', -0.029449557848464942), ('destroying', -0.022133521137742498), ('over', -0.01815840057931878), ('both', 0.015779270375885973), ('George', -0.015440827838178597), ('death', 0.013568445805730548)]	0
51	1	Before we get to work dispensing these arguments, it’s important to acknowledge that they are, on some level, understandable. A lot of Americans, especially those who got their bachelor’s degree before the early 2000s, find it baffling that younger generations can’t work their way through college.	[('we', -0.02863147844402736), ('can', -0.021092367038846916), ('degree', 0.02098814259808856), ('find', -0.018899092476241455), ('through', 0.016138959436141475), ('are', 0.015325644009311329)]	0
52	1	In July 2019, Rep. Alexandria Ocasio-Cortez, D-N.Y., and other Democrats visited a similar processing center in Clint, Texas, and made explosive allegations about the conditions there.	[('there', 0.020688176695687684), ('explosive', -0.019540870669085986), ('Texas', 0.014970499251308425), ('conditions', 0.014436788306643779), ('made', 0.012833058599411936), ('in', -0.011341373811732482)]	0
53	0	New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that “PHEAA’s abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.”	[('said', 0.023411841176302094), ('earlier', 0.0187169485329543), ('James', 0.015694366229696884), ('Attorney', 0.014521482677841672), ('they', 0.014320292752753453), ('York', 0.013986797588170842)]	0
54	0	Anti-Vaxxer Rebecca Dalelio, 43, was taken into custody after she tossed a menstrual cup, which she said was filled with blood, from the public gallery as senators finished taking a vote at about 5:14 p.m.	[('after', -0.042062026757064205), ('at', -0.01984320283647249), ('vote', -0.013974000079188678), ('as', 0.011546708329827673), ('with', -0.00960967828509923), ('blood', -0.008767128857463358)]	0
55	1	As Breitbart News most recently reported, blue-collar Americans in landscaping, conservation work, the meatpacking industry, construction industry, and fishing jobs have had their wages dragged down by foreign workers imported through the H-2B visa program.	[('workers', -0.02002959893335054), ('As', 0.017186631019392253), ('down', 0.013379368215161653), ('foreign', 0.01194255768802659), ('Breitbart', 0.009757016305034977), ('and', -0.00961407932527738)]	0
56	1	In August, Planned Parenthood made the decision to opt out of the federal family planning grant program, portraying itself as a victim of the Trump administration.	[('administration', 0.03171976305518889), ('itself', -0.015662999272731338), ('made', 0.013261340569871154), ('out', -0.010492779820277654), ('to', 0.009927863029296304), ('Parenthood', 0.008738036639535852)]	0
57	0	Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow.	[('been', -0.014501611448816936), ('death', 0.012785166400255224), ('by', 0.011563342619279424), ('cut', -0.010721959029060679), ('the', -0.010711563021263587), ('aircraft', 0.010221621795081137)]	0
58	1	State health departments and legislators who sneer at parental concerns and call for vaccination mandates erode parents’ trust.	[('State', 0.022436238701424624), ('who', -0.01804451226557591), ('call', -0.016304198984749083), ('at', -0.013464547407532014), ('parents', 0.00826653441695806), ('and', -0.0058158955033532685)]	0
59	0	The player vote ending Thursday at midnight—a simple majority vote will determine the outcome of the NFL CBA—is a monumental referendum for the next decade of the NFL.	[('decade', -0.026126671074826188), ('determine', -0.01137986188126601), ('will', -0.009657595357488606), ('Thursday', -0.009635136283234104), ('the', -0.009100149603778671), ('The', -0.0082130349495473)]	0
60	1	Cuban slave doctors that have escaped the system have said that, while working abroad, the Castro regime forced them to invent patients and throw away perfectly good medicine to boost the statistics on the number of patients Cuban doctors actually treat.	[('statistics', -0.04019083664112461), ('number', -0.027239300677943362), ('working', 0.023682859669432597), ('on', -0.02197656167062148), ('of', 0.014414922287108157), ('them', 0.0123315254907562)]	0
61	1	British Olympic swimmer Sharron Davies also slammed the concept of transgender athletes.	[('also', -0.015469821274561833), ('British', 0.01000216511922326), ('of', 0.00996066770919986), ('the', -0.008128767849239285), ('slammed', -0.00635088614834944), ('concept', 0.00037239726013223867)]	0
62	1	Biden’s appearance was a contrast with the approach of Republican President Donald Trump, who has made no major public statement to address the growing crisis but issued tweets as he remained out of sight in the White House.	[('Republican', 0.028349153237668658), ('approach', 0.02696313943762997), ('President', -0.020197420836960737), ('but', -0.017710965839476636), ('statement', -0.017010033046665946), ('to', 0.016608222250655263)]	0
63	0	"After Dr. Ulrich Klopfer died in rural Crete, Illinois, on Sept. 3, authorities found ""2,246 medically preserved fetal remains"" in his home. "	[('Illinois', -0.030261136205821514), ('his', -0.016621970696999288), ('rural', 0.014391172952072389), ('After', -0.013977634469557158), ('Sept', 0.007788530123415994), ('home', 0.007162228276504371)]	0
64	0	Thousands of Australians took to the streets on Friday to protest against government inaction on climate change, as bushfires ravaged tens of thousands of square miles of bushland after months of destruction and at least 27 deaths.	[('after', -0.054649633983305385), ('months', 0.02468055073445582), ('least', 0.02194709346221325), ('took', -0.013933301214838085), ('as', 0.013728360543405194), ('inaction', -0.013614063362531412)]	0
65	1	Sen. Josh Hawley (R-MO) introduced two bills on Tuesday to target the “monopolies” higher education institutions have created to make earning degrees involve accumulating massive student debt.	[('debt', 0.03837466687412613), ('Sen', 0.015834346631784024), ('target', -0.013017853587915218), ('involve', 0.008588552434266492), ('student', -0.008197483785682799), ('earning', 0.006674755579964318)]	0
66	1	The mother of a one-year-old killed in a Cuban clinic after receiving a routine vaccination launched an awareness campaign Tuesday urging social media users to share a photo of her in the hope that the communist regime gives her answers.	[('after', -0.041950570872599756), ('one', -0.030053957642672408), ('Tuesday', -0.01879495583212366), ('The', -0.016566745256825034), ('photo', 0.014593857571994304), ('year', 0.013116302303861849)]	0
67	0	Hillary Clinton tells this story to struggling students. She told it to minority students in Mississippi in November 2015,  and she recently told it again to minority students in Brooklyn.	[('tells', -0.027293621263516248), ('and', -0.020492673930952283), ('she', -0.020320100532087864), ('this', 0.018854449764508133), ('Clinton', 0.016453886728321702), ('story', -0.014056346002790546)]	0
68	1	The Trump Administration hasn’t built a single foot of border fencing after thirty months of riling up its supporters with claims that the wall was vital to national security.	[('after', -0.04990964324493268), ('months', 0.027807325304883047), ('with', -0.01735884488254409), ('The', -0.011707264110674073), ('to', 0.009321245767155982), ('that', 0.008076737031463206)]	0
69	1	As part of his plan to protect the commonwealth of Virginia from the spread of the Wuhan coronavirus, Gov. Ralph Northam determined that citizens should not be allowed to attend church or worship services, but are fine travel to an abortion clinic and undergo an elective procedure like surgical abortion.	[('services', 0.03396776633938549), ('should', 0.02607601681721365), ('part', -0.025989656074609582), ('allowed', 0.02377843314832357), ('like', 0.018460680782914362), ('plan', -0.013967441249816016)]	0
70	1	Countless American believers in the Bible, myself included, were inspired tremendously on Monday when President Trump stood in front of St. John’s Episcopal Church, across the street from the White House, and held up the Word of God for all to see.	[('American', -0.022812875898116987), ('see', -0.019018215353769866), ('of', 0.01613226670525083), ('on', 0.01610523131332772), ('John', -0.015600722221726676), ('were', -0.011459506464338201)]	0
71	0	U.S. President Donald Trump said on Thursday he was likely to declare a national emergency to secure funds for his long-sought wall along the U.S. southern border if he cannot reach an agreement with Congress to provide the money.	[('if', -0.014537382824526282), ('with', -0.013237901571370407), ('the', -0.013192331523991756), ('his', -0.013129591392170273), ('the', -0.011788262542089874), ('cannot', -0.01162914205132341)]	0
72	1	Trump, who has sparred back and forth with the teenage climate activist Greta Thunber, made the comments in a press briefing just before he was about to depart the annual World Economic Forum meeting in the Swiss ski resort.	[('back', -0.028456665714867335), ('has', -0.022762974356245417), ('made', 0.01676998634501137), ('World', -0.015630649763418082), ('forth', 0.015212595051155851), ('and', -0.014736330171152081)]	0
73	0	But the announcement Monday further clarifies that YouTube will take down any election-related videos that are technically altered to mislead people in a way that goes beyond simply taking clips of speech out of context.	[('will', -0.023074726251531417), ('related', -0.018697358277040693), ('Monday', -0.01841077720324479), ('speech', 0.015046494059384635), ('any', -0.01456774694232874), ('context', -0.013365920656191963)]	0
74	0	Poll workers and technicians reported issues with the new machines at more than 40% of polling locations in Philadelphia during last November’s election, according to the records reviewed by Reuters. Problems included touchscreens that were hypersensitive or that froze; paper voting receipts getting jammed in the machines; and panels opening on some machines to expose the equipment’s electronic controls, the records show.	[('than', -0.021973294960017136), ('workers', -0.021453743016264383), ('at', -0.017596793986399423), ('some', -0.01702385479784824), ('getting', 0.011829627723218649), ('paper', 0.011634615240904662)]	0
75	0	The University of Southern California (USC) has fired two employees who allegedly accepted enormous bribes in exchange for facilitating the acceptance of dozens of students, the school has said in an official statement.	[('two', 0.023829856725182612), ('enormous', -0.02057907657608074), ('accepted', -0.020478352809688287), ('has', -0.02017719680709803), ('employees', -0.019734122889860616), ('California', 0.015973328888555096)]	0
76	1	To bolster the argument that doctors deliver viable infants alive and let them die, the anti-choice movement also trots out a series of people who claim to have “survived” abortion. 	[('die', -0.04236215572899665), ('people', 0.021186424180763077), ('and', -0.01831111570160873), ('choice', -0.016812798524893452), ('them', 0.013901936182857864), ('claim', 0.011381421524960423)]	0
77	1	Shelby Steele, a senior fellow at Stanford University’s Hoover Institution said Friday that the contemporary civil rights movement under the banner of “Black Lives Matter” was deeply unserious, catering to an old form of victimization that has accomplished nothing to lift up black people.	[('University', -0.027720467656573003), ('at', -0.024969286864870325), ('senior', -0.022980666208293157), ('rights', -0.018179299086328503), ('deeply', 0.017401413159469664), ('Shelby', 0.008252896426193002)]	0
78	0	In Francis, Thunberg has found a kindered spirit. The Jesuit pope has made fighting climate change and caring for God's creation a pillar of his papacy.	[('has', -0.019170748094729753), ('has', -0.018496627449024833), ('made', 0.01518706847321795), ('fighting', 0.012460009889242273), ('spirit', -0.012286492315868603), ('for', 0.007750246337580981)]	0
79	1	Vaccine critics, for example, have long championed the false claim that vaccines cause autism, and that the Centers for Disease Control and Prevention has tried to cover up that information, Gorski said. 	[('cause', -0.03252324652223917), ('has', -0.023358747894785967), ('claim', 0.016244076175387215), ('said', 0.01323646096963815), ('the', -0.012595677887993213), ('the', -0.011592916407642534)]	0
80	1	Having a baby is hard, caring for a baby is hard, going back to work after a leave is hard but a few weeks of salary is not worth killing your baby for.	[('after', -0.04666632917923062), ('back', -0.024310550875720118), ('weeks', 0.02112503509138249), ('to', 0.016352471326670875), ('killing', 0.01358341423496464), ('worth', -0.012654362463064757)]	0
81	0	President Donald Trump on Friday announced that he has waived interest payments on all federal student loans to help alleviate financial strain as the United States combats the spread of the coronavirus.	[('has', -0.027014964918330445), ('States', 0.021761085428665904), ('United', -0.019686911127189344), ('President', -0.0148073014689552), ('Friday', 0.012748892387291821), ('all', 0.01163490234899001)]	0
82	0	Investigators believe parents would use falsified records so their children could attend schools that would otherwise require all students to be vaccinated, Dart told WBBM-TV.	[('could', 0.04313269074393803), ('to', 0.021857448869681217), ('children', -0.021186746632607584), ('believe', 0.020502371352873666), ('students', -0.01941477136630498), ('require', -0.015698824848658165)]	0
83	1	After that phone call, police asked the couple to come in for questioning, prompting them to flee Saudi Arabia, a country long known for draconian laws against homosexuality.	[('country', 0.02305413225127181), ('them', 0.011803639949080819), ('laws', 0.010930745986922194), ('Saudi', 0.009612870271363289), ('couple', -0.009394046802747346), ('come', 0.008922692608888783)]	0
84	1	Drivers in Ireland will be forced to buy electric vehicles within ten years according to a new law by the left-wing government in Dublin.	[('within', 0.02716408361650895), ('years', -0.026090870492405195), ('will', -0.01278318327823264), ('new', 0.010472405009264862), ('government', 0.00998576378922149), ('buy', 0.009392358735174222)]	0
85	0	Wimbledon champion Navratilova, who has campaigned for gay rights and suffered abuse when she came out in the 1980s, argued trans women have unfair physical advantages.	[('champion', -0.022267758520946614), ('has', -0.021071735800471565), ('suffered', -0.014433485097679376), ('and', -0.012319376523305066), ('physical', -0.01100046778735406), ('campaigned', -0.010181841495659037)]	0
